symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-L/100km,highway-L/100km,preço-binned,horsepower-binned,fuel-type-diesel,fuel-type-gas,aspiration-std,aspiration-turbo,price
3,122.0,alfa-romero,two,convertible,rwd,front,88.6,0.8111484863046613,0.32478632478632447,-2.029014503258066,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000.0,11.19047619047619,8.703703703703704,Barato,baixo,0,1,1,0,13495.0
3,122.0,alfa-romero,two,convertible,rwd,front,88.6,0.8111484863046613,0.32478632478632447,-2.029014503258066,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000.0,11.19047619047619,8.703703703703704,Barato,baixo,0,1,1,0,16500.0
1,122.0,alfa-romero,two,hatchback,rwd,front,94.5,0.8226814031715521,0.4444444444444446,-0.5583194270710262,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154,5000.0,12.368421052631579,9.038461538461538,Barato,médio,0,1,1,0,16500.0
2,164.0,audi,four,sedan,fwd,front,99.8,0.8486304661220567,0.5042735042735046,0.21788075202768845,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102,5500.0,9.791666666666666,7.833333333333333,Barato,baixo,0,1,1,0,13950.0
2,164.0,audi,four,sedan,4wd,front,99.4,0.8486304661220567,0.521367521367522,0.21788075202768845,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115,5500.0,13.055555555555555,10.681818181818182,Barato,baixo,0,1,1,0,17450.0
2,122.0,audi,two,sedan,fwd,front,99.8,0.8519942335415667,0.5128205128205127,-0.27235094003465626,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,12.368421052631579,9.4,Barato,baixo,0,1,1,0,15250.0
1,158.0,audi,four,sedan,fwd,front,105.8,0.9259971167707832,0.9487179487179492,0.7898177261004283,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,12.368421052631579,9.4,Barato,baixo,0,1,1,0,17710.0
1,122.0,audi,four,wagon,fwd,front,105.8,0.9259971167707832,0.9487179487179492,0.7898177261004283,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,12.368421052631579,9.4,Mediano,baixo,0,1,1,0,18920.0
1,158.0,audi,four,sedan,fwd,front,105.8,0.9259971167707832,0.9487179487179492,0.8715230081108176,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500.0,13.823529411764707,11.75,Mediano,médio,0,1,0,1,23875.0
2,192.0,bmw,two,sedan,rwd,front,101.2,0.849591542527631,0.3846153846153845,0.21788075202768845,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800.0,10.217391304347826,8.10344827586207,Barato,baixo,0,1,1,0,16430.0
0,192.0,bmw,four,sedan,rwd,front,101.2,0.849591542527631,0.3846153846153845,0.21788075202768845,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800.0,10.217391304347826,8.10344827586207,Barato,baixo,0,1,1,0,16925.0
0,188.0,bmw,two,sedan,rwd,front,101.2,0.849591542527631,0.3846153846153845,0.21788075202768845,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,11.19047619047619,8.392857142857142,Mediano,médio,0,1,1,0,20970.0
0,188.0,bmw,four,sedan,rwd,front,101.2,0.849591542527631,0.3846153846153845,0.21788075202768845,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,11.19047619047619,8.392857142857142,Mediano,médio,0,1,1,0,21105.0
1,122.0,bmw,four,sedan,rwd,front,103.5,0.9082172032676598,0.5641025641025647,0.7898177261004283,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,11.75,9.4,Mediano,médio,0,1,1,0,24565.0
0,122.0,bmw,four,sedan,rwd,front,103.5,0.9082172032676598,0.5641025641025647,0.7898177261004283,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400.0,14.6875,10.681818181818182,Mediano,médio,0,1,1,0,30760.0
0,122.0,bmw,two,sedan,rwd,front,103.5,0.9312830370014417,0.6495726495726502,-0.027235094003482462,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400.0,14.6875,10.681818181818182,Caro,médio,0,1,1,0,41315.0
0,122.0,bmw,four,sedan,rwd,front,110.0,0.9466602594906295,0.9059829059829065,1.034933572131599,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400.0,15.666666666666666,11.75,Caro,médio,0,1,1,0,36880.0
2,121.0,chevrolet,two,hatchback,fwd,front,88.4,0.6780394041326285,0.0,-0.23149829902946015,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100.0,5.0,4.433962264150943,Barato,baixo,0,1,1,0,5151.0
1,98.0,chevrolet,two,hatchback,fwd,front,94.5,0.7491590581451226,0.2820512820512823,-0.7217299910918078,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400.0,6.184210526315789,5.465116279069767,Barato,baixo,0,1,1,0,6295.0
0,81.0,chevrolet,four,sedan,fwd,front,94.5,0.7630946660259491,0.2820512820512823,-0.7217299910918078,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400.0,6.184210526315789,5.465116279069767,Barato,baixo,0,1,1,0,6575.0
1,118.0,dodge,two,hatchback,fwd,front,93.7,0.7558865929841423,0.2991452991452991,-1.2119616831541553,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500.0,6.351351351351352,5.7317073170731705,Barato,baixo,0,1,1,0,5572.0
1,118.0,dodge,two,hatchback,fwd,front,93.7,0.7558865929841423,0.2991452991452991,-1.2119616831541553,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,6.184210526315789,Barato,baixo,0,1,1,0,6377.0
1,118.0,dodge,two,hatchback,fwd,front,93.7,0.7558865929841423,0.2991452991452991,-1.2119616831541553,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500.0,9.791666666666666,7.833333333333333,Barato,baixo,0,1,0,1,7957.0
1,148.0,dodge,four,hatchback,fwd,front,93.7,0.7558865929841423,0.2991452991452991,-1.2936669651645447,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,6.184210526315789,Barato,baixo,0,1,1,0,6229.0
1,148.0,dodge,four,sedan,fwd,front,93.7,0.7558865929841423,0.2991452991452991,-1.2936669651645447,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,6.184210526315789,Barato,baixo,0,1,1,0,6692.0
1,148.0,dodge,four,sedan,fwd,front,93.7,0.7558865929841423,0.2991452991452991,-1.2936669651645447,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,6.184210526315789,Barato,baixo,0,1,1,0,7609.0
1,148.0,dodge,four,sedan,fwd,front,93.7,0.7558865929841423,0.2991452991452991,-1.2936669651645447,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500.0,9.791666666666666,7.833333333333333,Barato,baixo,0,1,0,1,8558.0
-1,110.0,dodge,four,wagon,fwd,front,103.3,0.8390197020663143,0.3675213675213672,2.464776007313443,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000.0,9.791666666666666,7.833333333333333,Barato,baixo,0,1,1,0,8921.0
3,145.0,dodge,two,hatchback,fwd,front,95.9,0.8322921672272945,0.5128205128205127,-1.4570775291853262,2811,ohc,four,156,mfi,3.6,3.9,7.0,145,5000.0,12.368421052631579,9.791666666666666,Barato,médio,0,1,0,1,12964.0
2,137.0,honda,two,hatchback,fwd,front,86.6,0.6948582412301778,0.30769230769230776,-1.2119616831541553,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800.0,4.795918367346939,4.351851851851852,Barato,baixo,0,1,1,0,6479.0
2,137.0,honda,two,hatchback,fwd,front,86.6,0.6948582412301778,0.30769230769230776,-1.2119616831541553,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,7.580645161290323,6.184210526315789,Barato,baixo,0,1,1,0,6855.0
1,101.0,honda,two,hatchback,fwd,front,93.7,0.7208073041806824,0.3162393162393164,-0.47661414506063393,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500.0,6.184210526315789,5.595238095238095,Barato,baixo,0,1,1,0,5399.0
1,101.0,honda,two,hatchback,fwd,front,93.7,0.7208073041806824,0.3162393162393164,-0.47661414506063393,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,7.833333333333333,6.911764705882353,Barato,baixo,0,1,1,0,6529.0
1,101.0,honda,two,hatchback,fwd,front,93.7,0.7208073041806824,0.3162393162393164,-0.47661414506063393,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,7.833333333333333,6.911764705882353,Barato,baixo,0,1,1,0,7129.0
0,110.0,honda,four,sedan,fwd,front,96.5,0.7851994233541567,0.3162393162393164,0.29958603403808065,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,7.833333333333333,6.911764705882353,Barato,baixo,0,1,1,0,7295.0
0,78.0,honda,four,wagon,fwd,front,96.5,0.754925516578568,0.30769230769230776,1.85198639223551,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000.0,7.833333333333333,6.911764705882353,Barato,baixo,0,1,1,0,7295.0
0,106.0,honda,two,hatchback,fwd,front,96.5,0.8049014896684287,0.4188034188034192,-0.19064565802426695,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,8.703703703703704,7.121212121212121,Barato,baixo,0,1,1,0,7895.0
0,106.0,honda,two,hatchback,fwd,front,96.5,0.8049014896684287,0.4188034188034192,-0.19064565802426695,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,8.703703703703704,7.121212121212121,Barato,baixo,0,1,1,0,9095.0
0,85.0,honda,four,sedan,fwd,front,96.5,0.8428640076886112,0.4188034188034192,0.1361754700172991,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,8.703703703703704,7.121212121212121,Barato,baixo,0,1,1,0,8845.0
0,85.0,honda,four,sedan,fwd,front,96.5,0.8428640076886112,0.18803418803418823,0.1361754700172991,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,8.703703703703704,7.121212121212121,Barato,baixo,0,1,1,0,10295.0
0,85.0,honda,four,sedan,fwd,front,96.5,0.8428640076886112,0.4188034188034192,0.1361754700172991,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101,5800.0,9.791666666666666,8.392857142857142,Barato,baixo,0,1,1,0,12945.0
1,107.0,honda,two,sedan,fwd,front,96.5,0.8125901009130225,0.4871794871794873,-1.1302564011437632,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500.0,9.4,7.580645161290323,Barato,baixo,0,1,1,0,10345.0
0,122.0,isuzu,four,sedan,rwd,front,94.3,0.8202787121576165,0.12820512820512817,-0.1089403760138747,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800.0,9.791666666666666,8.10344827586207,Barato,baixo,0,1,1,0,6785.0
2,122.0,isuzu,two,hatchback,rwd,front,96.0,0.8294089380105718,0.4188034188034192,-0.9668458371229816,2734,ohc,four,119,spfi,3.43,3.23,9.2,90,5000.0,9.791666666666666,8.10344827586207,Barato,baixo,0,1,1,0,11048.0
0,145.0,jaguar,four,sedan,rwd,front,113.0,0.9591542527630946,0.7948717948717945,-0.39490886305024464,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750.0,15.666666666666666,12.368421052631579,Caro,médio,0,1,1,0,32250.0
